Set forks.
Created Philos.
Init Complete.
Monitor created.
Monitor_flag = 1
0 1 started
0 1 is eating
0 1 is sleeping
0 2 started
0 2 is eating
0 2 is sleeping
0 3 started
0 3 is eating
0 3 is sleeping
0 4 started
0 4 is eating
0 4 is sleeping
10 1 is thinking
10 1 is eating
10 1 is sleeping
10 2 is thinking
10 2 is eating
10 2 is sleeping
10 3 is thinking
10 3 is eating
10 3 is sleeping
10 4 is thinking
10 4 is eating
10 4 is sleeping
20 1 is thinking
20 1 is eating
20 1 is sleeping
20 2 is thinking
20 2 is eating
20 2 is sleeping
20 3 is thinking
20 3 is eating
20 3 is sleeping
20 4 is thinking
20 4 is eating
20 4 is sleeping
30 1 is thinking
30 1 is eating
30 1 is sleeping
30 2 is thinking
30 2 is eating
30 2 is sleeping
30 3 is thinking
30 3 is eating
30 3 is sleeping
30 4 is thinking
30 4 is eating
30 4 is sleeping
40 1 is thinking
40 1 is eating
40 1 is sleeping
40 2 is thinking
40 2 is eating
40 2 is sleeping
40 3 is thinking
40 3 is eating
40 3 is sleeping
41 4 is thinking
41 4 is eating
41 4 is sleeping
50 1 is thinking
50 1 is eating
50 1 is sleeping
50 2 is thinking
50 2 is eating
50 2 is sleeping
50 3 is thinking
50 3 is eating
50 3 is sleeping
51 4 is thinking
51 4 is eating
51 4 is sleeping
60 1 is thinking
60 1 is eating
60 1 is sleeping
61 3 is thinking
61 3 is eating
61 3 is sleeping
61 2 is thinking
61 2 is eating
61 2 is sleeping
61 4 is thinking
61 4 is eating
61 4 is sleeping
71 1 is thinking
71 1 is eating
71 1 is sleeping
71 4 is thinking
71 4 is eating
71 4 is sleeping
71 3 is thinking
71 3 is eating
71 3 is sleeping
71 2 is thinking
71 2 is eating
71 2 is sleeping
81 1 is thinking
81 1 is eating
81 1 is sleeping
81 4 is thinking
81 4 is eating
81 4 is sleeping
81 3 is thinking
81 3 is eating
81 3 is sleeping
81 2 is thinking
81 2 is eating
81 2 is sleeping
91 1 is thinking
91 1 is eating
91 1 is sleeping
91 4 is thinking
91 4 is eating
91 4 is sleeping
91 3 is thinking
91 3 is eating
91 3 is sleeping
91 2 is thinking
91 2 is eating
91 2 is sleeping
101 1 is thinking
101 1 is eating
101 1 is sleeping
101 4 is thinking
101 4 is eating
101 4 is sleeping
101 3 is thinking
101 3 is eating
101 3 is sleeping
101 2 is thinking
101 2 is eating
101 2 is sleeping
111 1 is thinking
111 1 is eating
111 1 is sleeping
111 4 is thinking
111 4 is eating
111 4 is sleeping
111 3 is thinking
111 3 is eating
111 3 is sleeping
111 2 is thinking
111 2 is eating
111 2 is sleeping
121 1 is thinking
121 1 is eating
121 1 is sleeping
121 4 is thinking
121 4 is eating
121 4 is sleeping
121 3 is thinking
121 3 is eating
121 3 is sleeping
121 2 is thinking
121 2 is eating
121 2 is sleeping
131 1 is thinking
131 1 is eating
131 1 is sleeping
131 4 is thinking
131 4 is eating
131 4 is sleeping
131 3 is thinking
131 3 is eating
131 3 is sleeping
131 2 is thinking
131 2 is eating
131 2 is sleeping
141 1 is thinking
141 1 is eating
141 1 is sleeping
141 4 is thinking
141 4 is eating
141 4 is sleeping
141 3 is thinking
141 3 is eating
141 3 is sleeping
141 2 is thinking
141 2 is eating
141 2 is sleeping
151 1 is thinking
151 1 is eating
151 1 is sleeping
151 4 is thinking
151 4 is eating
151 4 is sleeping
151 3 is thinking
151 3 is eating
151 3 is sleeping
151 2 is thinking
151 2 is eating
151 2 is sleeping
161 1 is thinking
161 1 is eating
161 1 is sleeping
161 4 is thinking
161 4 is eating
161 4 is sleeping
161 3 is thinking
161 3 is eating
161 3 is sleeping
161 2 is thinking
161 2 is eating
161 2 is sleeping
171 1 is thinking
171 1 is eating
171 1 is sleeping
171 4 is thinking
171 4 is eating
171 4 is sleeping
171 3 is thinking
171 3 is eating
171 3 is sleeping
171 2 is thinking
171 2 is eating
171 2 is sleeping
181 1 is thinking
181 1 is eating
181 1 is sleeping
181 4 is thinking
181 4 is eating
181 4 is sleeping
181 3 is thinking
181 3 is eating
181 3 is sleeping
181 2 is thinking
181 2 is eating
181 2 is sleeping
191 1 is thinking
191 1 is eating
191 1 is sleeping
191 4 is thinking
191 4 is eating
191 4 is sleeping
191 3 is thinking
191 3 is eating
191 3 is sleeping
192 2 is thinking
192 2 is eating
192 2 is sleeping
201 1 is thinking
201 1 is eating
201 1 is sleeping
201 4 is thinking
201 4 is eating
201 4 is sleeping
202 3 is thinking
202 3 is eating
202 3 is sleeping
202 2 is thinking
202 2 is eating
202 2 is sleeping
211 1 is thinking
211 1 is eating
211 1 is sleeping
211 4 is thinking
211 4 is eating
211 4 is sleeping
212 3 is thinking
212 3 is eating
212 3 is sleeping
212 2 is thinking
212 2 is eating
212 2 is sleeping
221 1 is thinking
221 1 is eating
221 1 is sleeping
221 4 is thinking
221 4 is eating
221 4 is sleeping
222 3 is thinking
222 3 is eating
222 3 is sleeping
222 2 is thinking
222 2 is eating
222 2 is sleeping
231 1 is thinking
231 1 is eating
231 1 is sleeping
231 4 is thinking
231 4 is eating
231 4 is sleeping
232 3 is thinking
232 3 is eating
232 3 is sleeping
232 2 is thinking
232 2 is eating
232 2 is sleeping
241 1 is thinking
241 1 is eating
241 1 is sleeping
241 4 is thinking
241 4 is eating
241 4 is sleeping
242 3 is thinking
242 3 is eating
242 3 is sleeping
242 2 is thinking
242 2 is eating
242 2 is sleeping
251 1 is thinking
251 1 is eating
251 1 is sleeping
251 4 is thinking
251 4 is eating
251 4 is sleeping
252 3 is thinking
252 3 is eating
252 3 is sleeping
252 2 is thinking
252 2 is eating
252 2 is sleeping
261 1 is thinking
261 1 is eating
261 1 is sleeping
262 4 is thinking
262 4 is eating
262 4 is sleeping
262 3 is thinking
262 3 is eating
262 3 is sleeping
262 2 is thinking
262 2 is eating
262 2 is sleeping
272 1 is thinking
272 1 is eating
272 1 is sleeping
272 4 is thinking
272 4 is eating
272 4 is sleeping
272 3 is thinking
272 3 is eating
272 3 is sleeping
272 2 is thinking
272 2 is eating
272 2 is sleeping
282 1 is thinking
282 1 is eating
282 1 is sleeping
282 4 is thinking
